page,outbreak_id,start_date,end_date,latitude,longitude,location,epidemiological_unit,species,bird_type,susceptible,cases,deaths,killed_disposed,slaughtered_commercial,vaccinated,year,month,duration_days
59,0162300478,2023-11-19,2024-01-23,-13.386188,-76.151,"EL AMARILLO, GROCIO PRADO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,65
60,0042300410,2023-11-08,2024-01-18,-6.49793,-79.95547,"CASA BLANCA, MORROPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,71
61,0042300396,2023-11-08,2024-01-22,-6.61146,-79.9278,"LAMBAYEQUE, LAMBAYEQUE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,75
62,0042300364,2023-10-23,2024-01-22,-6.38523,-79.56395,"LAMBAYEQUE, LAMBAYEQUE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,91
63,0042300353,2023-09-16,2024-01-12,-6.65821,-79.8499,SIALUPE HUAMANTANGA PUNTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,118
64,0042300350,2023-09-29,2023-11-07,-6.81608,-79.78296,"SAN PABLO, POMALCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,39
65,0282300192,2023-11-20,2024-01-16,-5.565338,-78.552745,"Guadalupe, Bagua, Bagua,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,57
66,0282300188,2023-11-16,2024-01-12,-12.230457,-76.897978,"PACHACAMAC, PACHACAMAC,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,57
67,0042300319,2023-09-19,2023-12-13,-6.49762,-79.94877,"TRANCA FANUPE (FANUPE),",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,85
68,0042300302,2023-09-17,2023-12-13,-6.84214,-79.81105,"MONSEFU, CHICLAYO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,87
69,0042300301,2023-09-17,2023-12-12,-6.69773,-79.77869,"SAN MIGUEL, PICSI, CHICLAYO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,86
70,0042300339,2023-09-04,2023-12-19,-6.82435,-79.79934,"SAN PABLO, POMALCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,106
71,0042300268,2023-08-02,2023-10-06,-6.51518,-79.92171,"CHEPITO OLIVOS, MORROPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,8,65
72,0282300193,2023-11-15,2024-01-16,-12.23034,-76.898294,"PACHACAMAC, PACHACAMAC,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,62
73,0112300218,2023-11-01,2023-12-21,-12.153532,-75.225049,"HUAYUCACHI, HUAYUCACHI,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,50
74,0052300304,2023-11-14,2024-01-12,-13.019817,-76.47766,"CERRO AZUL, CAÑETE, LIMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,59
